geneName	AL3.1,AL3.2	ALP.1,ALP.2	AWP.1,AWP.2	EL3.1,EL3.2	ELP.1,ELP.2	EWP.1,EWP.2	LL3.1,LL3.2	LLP.1,LLP.2	LWP.1,LWP.2	WL3.1,WL3.2	WLP.1,WLP.2	WWP.1,WWP.2
FBgn0014076	4975.11.00	0	0	0	1882.58.00	0	2461.17.00	0	0	5382.57.00	7360.19.00	0
FBgn0014092	55.53.00	25.51.00	136.04.00	52.08.00	79.04.00	69.51.00	104.32.00	63.42.00	195.13.00	68.25.00	1643.58.00	110.45.00
FBgn0014127	129.49.00	711.47.00	77.28.00	133.24.00	36.19.00	25.05.00	77.03.00	648.41.00	135.37.00	110.12.00	1546.34.00	114.39.00
FBgn0014133	94.13.00	1645.35.00	127.32.00	67.56.00	107.03.00	128.18.00	205.28.00	894.23.00	54.19.00	130.18.00	26.49.00	121.28.00
FBgn0014135	14251.07.00	1418.06.00	722.32.00	1488.06.00	114.02.00	1467.43.00	235.17.00	513.49.00	590.44.00	774.13.00	740.58.00	688.23.00
FBgn0014141	162.29.00	128.04.00	47.55.00	62.22.00	175.53.00	129.04.00	85.28.00	134.28.00	74.15.00	224.32.00	80.28.00	141.47.00
FBgn0014143	6220.29.00	2220.29.00	517.56.00	13019.24.00	5208.42.00	2587.15.00	11184.05.00	1560.21.00	8154.28.00	0	1623.17.00	5659.16.00
FBgn0014163	310.01.00	149.12.00	793.42.00	683.28.00	197.07.00	794.32.00	568.18.00	136.34.00	599.08.00	721.09.00	182.25.00	513.03.00
FBgn0014179	1636.41.00	9825.15.00	256.03.00	1379.48.00	10957.53.00	23.37	613.44.00	627.14.00	14.36	1841.55.00	12648.54.00	13.31
FBgn0014184	569.13.00	1761.08.00	723.22.00	695.33.00	1728.34.00	1015.9	502.29.00	1013.03.00	600.56.00	419.03.00	1575.2	569.47.00
FBgn0014189	249.51.00	69.23.00	310.25.00	312.18.00	185.07.00	239.46.00	379.11.00	155.29.00	264.28.00	438.03.00	155.26.00	321.45.00
FBgn0014269	195.06.00	73.55.00	96.38.00	170.44.00	36.48.00	45.22.00	80.48.00	68.54.00	145.51.00	172.47.00	123.04.00	95.16.00
FBgn0014340	1002.42.00	776.04.00	1213.49.00	870.59.00	1371.01.00	558.53.00	45.27.00	13392.07.00	1086.12.00	115.07.00	99.25.00	839.16.00
FBgn0014342	574.55.00	18.57	1602.42.00	389.06.00	14621.21.00	1375.33.00	126.48.00	11753.06.00	1561.22.00	27.55.00	46.06.00	1178.36.00
FBgn0014343	782.55.00	1437.18.00	60.39.00	176.27.00	97.23.00	101.57.00	6320.01.00	1466.49.00	6380.46.00	63.58.00	581.19.00	149.34.00
FBgn0014366	180.19.00	941.56.00	92.54.00	148.08.00	14.05	180.24.00	108.06.00	371.55.00	157.46.00	130.14.00	1603.45.00	104.08.00
FBgn0014368	4631.18.00	13051.25.00	974.51.00	0	2475.09.00	3001.11.00	1573.04.00	0	0	4234.07.00	478.44.00	2671.24.00
FBgn0014380	125.52.00	219.37.00	61.22.00	105.56.00	91.22.00	83.59.00	95.45.00	187.37.00	217.17.00	32.46.00	164.24.00	109.02.00
FBgn0014388	30.38.00	102.35.00	175.41.00	167.28.00	75.23.00	68.08.00	116.45.00	40.57.00	111.46.00	34.58.00	76.35.00	52.17.00
FBgn0014391	910.29.00	1557.07.00	694.04.00	708.27.00	1357.13.00	665.19.00	783.04.00	1125.33.00	836.26.00	482.18.00	693.18.00	797.08.00
FBgn0014395	7588.46.00	1138.11.00	16147.39.00	10286.53.00	5462.26.00	1222.29.00	7840.25.00	6606.42.00	83.54.00	1892.56.00	5177.29.00	82.01.00
FBgn0014396	7458.14.00	311.42.00	6079.34.00	653.57.00	194.45.00	9578.37.00	14460.44.00	1459.13.00	2673.15.00	4477.59.00	84.49.00	2807.23.00
FBgn0014411	61.23.00	134.49.00	183.04.00	32.57.00	155.28.00	30.58.00	145.35.00	14.18	130.09.00	196.56.00	52.59.00	26.42.00
FBgn0014417	454.59.00	5860.29.00	927.06.00	551.57.00	4090.25.00	1156.56.00	343.16.00	2521.43.00	10.11	324.16.00	2834.25.00	16364.53.00
FBgn0014427	154.11.00	60.13.00	202.04.00	152.31.00	53.38.00	166.07.00	203.44.00	146.28.00	206.08.00	266.19.00	170.33.00	257.46.00
FBgn0014454	0	736.24.00	0	0	108.35.00	0	0	519.23.00	0	0	64.28.00	0
FBgn0014455	163.22.00	87.29.00	134.05.00	142.06.00	51.18.00	254.31.00	204.39.00	81.31.00	112.44.00	269.09.00	94.57.00	180.19.00
FBgn0014464	1727.11.00	0	5163.17.00	2403.56.00	6993.52.00	15039.06.00	3046.04.00	0	4341.25.00	2978.59.00	0	0
FBgn0014465	9753.03.00	0	2623.25.00	8090.04.00	0	4827.01.00	0	0	0	4121.38.00	0	0
FBgn0014466	16011.28.00	0	5348.55.00	7351.37.00	0	1184.11.00	0	12844.15.00	12455.45.00	0	0	1828.21.00
FBgn0014469	26.56.00	20.44	137.08.00	157.04.00	155.35.00	145.28.00	163.44.00	67.14.00	110.55.00	102.22.00	134.55.00	158.41.00
FBgn0014848	7015.13.00	496.53.00	529.11.00	0	3057.54.00	9.01	0	0	359.04.00	0	7185.22.00	12726.16.00
FBgn0014849	0	0	331.51.00	5877.47.00	2283.15.00	1361.43.00	0	10931.55.00	1013.16.00	0	0	12177.48.00
FBgn0014850	0	131.43.00	2830.44.00	0	490.43.00	7440.07.00	0	1358.55.00	7185.34.00	0	643.43.00	0
FBgn0014851	695.51.00	1937.25.00	1747.52.00	0	4558.05.00	0	0	5991.18.00	4353.37.00	0	0	0
FBgn0014857	290.22.00	121.27.00	309.03.00	410.07.00	177.37.00	338.08.00	440.06.00	167.09.00	292.47.00	473.52.00	78.46.00	383.21.00
FBgn0014859	587.06.00	169.18.00	5068.51.00	5039.36.00	1649.22.00	2786.48.00	3092.22.00	624.53.00	3027.52.00	4363.52.00	128.26.00	1768.01.00
FBgn0014861	155.22.00	890.06.00	122.29.00	57.14.00	15134.48.00	20.37	120.19.00	5638.18.00	143.32.00	158.18.00	5421.08.00	91.37.00
FBgn0014863	1017.34.00	183.15.00	6956.46.00	4879.58.00	165.02.00	3138.15.00	7568.37.00	463.25.00	3936.14.00	6210.42.00	192.29.00	4214.52.00
FBgn0014865	0	539.27.00	665.14.00	0	115.44.00	1008.54.00	0	496.09.00	3307.23.00	0	142.35.00	111.44.00
FBgn0014868	214.06.00	78.54.00	354.16.00	188.42.00	117.33.00	298.04.00	274.37.00	41.21.00	414.02.00	336.25.00	136.07.00	384.31.00
FBgn0014869	71.56.00	113.16.00	193.55.00	95.45.00	115.41.00	125.24.00	161.56.00	245.24.00	285.02.00	141.48.00	211.35.00	197.08.00
FBgn0014870	175.24.00	1227.46.00	43.31.00	175.59.00	156.12.00	137.13.00	100.03.00	95.34.00	174.56.00	245.37.00	1566.49.00	60.17.00
FBgn0014877	22.12	179.01.00	172.49.00	59.02.00	33.54.00	149.24.00	76.07.00	34.46.00	97.45.00	47.9	67.36.00	120.01.00
FBgn0014879	228.34.00	64.03.00	230.26.00	263.05.00	205.48.00	229.16.00	412.39.00	92.48.00	230.58.00	353.43.00	145.21.00	335.15.00
FBgn0014903	399.37.00	619.33.00	1063.25.00	529.48.00	697.27.00	1595.46.00	1277.32.00	1047.41.00	429.36.00	45.07.00	760.37.00	738.58.00
FBgn0014906	116.29.00	200.52.00	177.13.00	52.44.00	185.58.00	74.54.00	175.44.00	165.17.00	111.52.00	80.35.00	69.01.00	204.02.00
FBgn0014930	67.16.00	79.13.00	71.46.00	41.21.00	259.03.00	82.44.00	108.18.00	124.53.00	98.46.00	72.56.00	74.29.00	169.52.00
FBgn0014931	5167.54.00	6099.15.00	8186.17.00	9505.56.00	435.45.00	15190.53.00	466.18.00	6303.28.00	14889.39.00	12237.25.00	1843.06.00	9217.18.00
FBgn0014949	0	8032.49.00	0	0	16221.05.00	0	0	1423.31.00	0	0	8966.52.00	0
FBgn0015000	97.15.00	143.06.00	62.03.00	19.12	932.53.00	177.01.00	30.49.00	1273.31.00	78.23.00	190.08.00	948.24.00	61.16.00
FBgn0015001	0	832.06.00	0	5580.19.00	0	3703.53.00	0	15190.06.00	9660.51.00	0	152.05.00	16218.05.00
FBgn0015008	0	2148.28.00	7488.11.00	2809.55.00	9366.34.00	8042.05.00	0	9546.35.00	3978.27.00	0	6338.54.00	2039.18.00
FBgn0015010	544.53.00	1274.03.00	163.12.00	22.49	1083.01.00	1291.31.00	832.58.00	11960.58.00	1395.15.00	6684.46.00	208.23.00	36.44.00
FBgn0015011	304.42.00	1269.43.00	56.11.00	1542.01.00	157.44.00	14272.54.00	13232.48.00	379.45.00	1579.35.00	833.44.00	14516.07.00	869.08.00
FBgn0015019	176.54.00	127.06.00	214.18.00	194.34.00	128.16.00	166.16.00	263.03.00	153.01.00	201.34.00	327.42.00	153.18.00	271.57.00
FBgn0015024	135.42.00	173.47.00	220.27.00	167.19.00	216.28.00	243.52.00	187.38.00	198.21.00	174.08.00	253.27.00	151.53.00	198.11.00
FBgn0015025	203.18.00	1565.42.00	1341.02.00	1169.58.00	1314.45.00	1060.22.00	93.37.00	909.59.00	587.06.00	510.02.00	75.46.00	1601.27.00
FBgn0015031	508.54.00	809.29.00	605.49.00	457.02.00	752.09.00	463.48.00	585.19.00	880.1	506.19.00	464.56.00	367.43.00	624.54.00
FBgn0015032	3964.41.00	149.37.00	2506.56.00	399.15.00	77.36.00	2449.33.00	0	1095.03.00	2063.13.00	0	1616.51.00	0
FBgn0015033	15441.31.00	906.48.00	3471.09.00	11466.46.00	353.22.00	3851.45.00	628.47.00	230.39.00	2443.38.00	0	822.41.00	10854.26.00
FBgn0015034	968.11.00	1596.34.00	958.09.00	594.55.00	160.54.00	115.29.00	335.36.00	174.19.00	168.21.00	9812.06.00	1398.22.00	720.19.00
FBgn0015035	887.57.00	511.03.00	3984.46.00	12752.14.00	1593.07.00	6874.14.00	4025.28.00	8664.37.00	6228.23.00	0	285.42.00	2148.39.00
FBgn0015036	2085.15.00	210.16.00	9137.15.00	13190.18.00	129.26.00	13122.29.00	14306.08.00	491.27.00	12327.31.00	3495.05.00	10153.32.00	3774.18.00
FBgn0015037	9605.51.00	124.31.00	6251.05.00	5347.55.00	357.27.00	16.59	870.21.00	202.49.00	1745.47.00	5103.04.00	7349.26.00	0
FBgn0015038	1791.59.00	13833.55.00	1838.06.00	0	6034.22.00	0	15411.05.00	0	0	0	2257.12.00	0
FBgn0015039	3511.56.00	1431.27.00	11139.18.00	3797.26.00	443.43.00	129.04.00	1879.46.00	95.23.00	7446.25.00	16591.54.00	464.08.00	12016.05.00
FBgn0015040	158.33.00	62.11.00	135.08.00	113.54.00	53.44.00	113.37.00	24.29.00	109.04.00	778.32.00	109.42.00	179.46.00	27.09.00
FBgn0015075	42.22.00	613.37.00	70.59.00	158.06.00	214.25.00	23.26	69.58.00	72.36.00	53.51.00	122.24.00	1083.55.00	65.43.00
FBgn0015218	253.54.00	221.21.00	423.17.00	322.18.00	235.22.00	373.31.00	378.34.00	241.41.00	318.18.00	410.57.00	259.02.00	355.24.00
FBgn0015221	187.56.00	378.32.00	249.5	297.08.00	217.22.00	250.06.00	232.37.00	288.04.00	200.39.00	314.24.00	355.35.00	190.23.00
FBgn0015222	224.29.00	441.31.00	271.57.00	295.26.00	269.58.00	268.16.00	282.44.00	329.26.00	250.37.00	331.26.00	328.53.00	233.12.00
FBgn0015229	173.59.00	207.36.00	215.57.00	118.24.00	68.49.00	190.16.00	41.21.00	99.03.00	201.16.00	183.58.00	130.47.00	103.24.00
FBgn0015230	0	6397.25.00	15106.15.00	3087.36.00	2031.07.00	1512.13.00	0	0	1399.38.00	0	0	0
FBgn0015239	227.18.00	118.08.00	116.43.00	122.06.00	53.18.00	114.55.00	96.08.00	140.41.00	116.13.00	194.21.00	92.27.00	113.46.00
FBgn0015240	723.21.00	700.46.00	174.37.00	1135.22.00	299.42.00	1208.56.00	1327.25.00	87.01.00	1477.15.00	402.26.00	1151.35.00	58.43.00
FBgn0015245	186.18.00	158.08.00	153.05.00	178.37.00	211.37.00	139.52.00	249.57.00	124.23.00	142.51.00	362.51.00	199.56.00	207.05.00
FBgn0015247	126.07.00	164.53.00	182.41.00	153.48.00	105.19.00	160.14.00	43.22.00	37.27.00	24.55.00	57.18.00	63.55.00	173.47.00
FBgn0015268	444.17.00	113.24.00	378.24.00	469.51.00	134.51.00	318.24.00	635.51.00	119.53.00	312.55.00	673.13.00	161.22.00	448.31.00
FBgn0015269	1275.27.00	457.49.00	96.52.00	141.07.00	1129.56.00	1000.38.00	1487.13.00	874.26.00	61.47.00	578.39.00	1491.11.00	157.47.00
FBgn0015270	873.51.00	15.23	91.37.00	1292.34.00	14870.56.00	755.48.00	11.44	3299.37.00	546.46.00	25.13.00	9872.35.00	235.53.00
FBgn0015271	419.52.00	15739.36.00	319.45.00	164.13.00	12454.02.00	454.37.00	131.37.00	4508.26.00	701.06.00	151.47.00	4459.47.00	1403.43.00
FBgn0015277	326.38.00	1193.04.00	13.13	1498.06.00	1543.08.00	541.41.00	1059.57.00	1144.11.00	786.17.00	128.15.00	1080.45.00	1112.53.00
FBgn0015278	775.45.00	1000.03.00	28.06.00	22.19	371.19.00	146.48.00	42.39.00	1373.34.00	136.16.00	154.21.00	90.38.00	115.38.00
FBgn0015279	50.51.00	131.23.00	136.07.00	127.31.00	199.03.00	143.53.00	96.07.00	479.32.00	163.15.00	87.21.00	1306.28.00	34.42.00
FBgn0015282	139.56.00	219.35.00	266.28.00	171.25.00	138.44.00	187.46.00	211.37.00	178.22.00	224.16.00	275.24.00	163.51.00	236.08.00
FBgn0015283	121.25.00	56.8	228.03.00	159.07.00	81.26.00	181.16.00	183.46.00	212.53.00	201.01.00	205.59.00	147.22.00	217.07.00
FBgn0015286	136.53.00	164.27.00	146.21.00	114.02.00	222.26.00	147.39.00	193.44.00	147.27.00	166.46.00	196.46.00	138.56.00	202.45.00
FBgn0015288	1168.02.00	366.33.00	1474.33.00	1490.49.00	405.56.00	1098.4	1550.09.00	555.32.00	1034.31.00	1363.29.00	273.26.00	1125.43.00
FBgn0015295	59.54.00	662.35.00	171.56.00	174.06.00	1663.18.00	109.46.00	163.16.00	649.19.00	72.35.00	177.29.00	21.17	159.26.00
FBgn0015296	112.53.00	41.36.00	127.56.00	133.02.00	89.21.00	100.21.00	121.11.00	19.39	130.13.00	96.43.00	166.06.00	59.03.00
FBgn0015298	174.46.00	142.24.00	139.2	179.45.00	166.43.00	114.49.00	124.44.00	227.43.00	179.35.00	248.59.00	191.14.00	168.45.00
FBgn0015299	301.42.00	119.42.00	136.42.00	212.21.00	110.49.00	137.31.00	225.14.00	77.38.00	156.58.00	132.03.00	75.04.00	169.12.00
FBgn0015300	7188.55.00	4562.57.00	7904.04.00	7288.15.00	2734.32.00	2205.34.00	0	0	7268.02.00	0	0	16376.33.00
FBgn0015316	568.36.00	793.25.00	700.38.00	925.48.00	523.55.00	172.01.00	1350.58.00	101.06.00	556.12.00	178.43.00	12935.12.00	885.08.00
FBgn0015320	188.42.00	60.46.00	88.11.00	156.06.00	190.14.00	173.01.00	224.24.00	97.18.00	91.41.00	114.42.00	60.17.00	131.27.00
FBgn0015321	57.13.00	175.31.00	148.37.00	94.37.00	177.16.00	212.12.00	200.35.00	39.53.00	105.27.00	190.12.00	164.44.00	227.16.00
FBgn0015324	117.36.00	271.27.00	133.37.00	165.02.00	267.21.00	134.07.00	143.37.00	139.29.00	114.06.00	162.43.00	265.45.00	125.08.00
FBgn0015331	1285.11.00	1174.03.00	85.37.00	129.17.00	380.01.00	119.05.00	86.46.00	102.35.00	118.46.00	154.36.00	774.54.00	27.15.00
FBgn0015336	8978.31.00	3526.54.00	2723.32.00	2084.26.00	1085.42.00	2814.29.00	887.06.00	11074.36.00	10900.45.00	0	1647.24.00	4679.43.00
FBgn0015338	87.14.00	70.04.00	213.38.00	84.01.00	164.22.00	179.13.00	104.13.00	137.57.00	115.58.00	243.44.00	48.58.00	203.41.00
FBgn0015351	114.09.00	662.57.00	70.24.00	48.56.00	76.15.00	85.39.00	29.49.00	216.05.00	743.48.00	52.07.00	1545.01.00	793.43.00
FBgn0015359	86.53.00	15.31	97.27.00	157.43.00	1051.22.00	95.51.00	97.58.00	90.55.00	52.14.00	127.22.00	145.42.00	164.18.00
FBgn0015360	996.22.00	76.27.00	76.46.00	27.41.00	131.28.00	1352.49.00	552.03.00	513.04.00	440.57.00	733.52.00	1669.25.00	52.58.00
FBgn0015371	42.24.00	191.06.00	57.36.00	75.32.00	175.49.00	205.59.00	124.45.00	708.31.00	88.24.00	189.56.00	633.37.00	38.34.00
FBgn0015372	1364.31.00	411.59.00	14.53	25.34.00	69.18.00	107.53.00	47.31.00	736.21.00	495.36.00	36.31.00	1069.06.00	533.18.00
FBgn0015376	8.47	15470.07.00	1504.19.00	1356.56.00	9691.02.00	138.49.00	102.13.00	5692.04.00	1498.13.00	81.44.00	3399.07.00	1105.28.00
FBgn0015379	98.19.00	181.07.00	118.57.00	180.59.00	27.37.00	74.27.00	166.31.00	59.47.00	194.15.00	190.03.00	1128.35.00	172.15.00
FBgn0015380	136.23.00	25.11.00	93.48.00	136.05.00	139.52.00	108.41.00	157.53.00	31.35.00	144.41.00	154.27.00	200.27.00	95.44.00
FBgn0015381	0	5722.58.00	0	0	0	0	0	0	0	0	0	0
FBgn0015391	16.21	825.56.00	40.18.00	109.07.00	774.08.00	103.02.00	43.31.00	11509.38.00	148.04.00	173.34.00	466.02.00	138.02.00
FBgn0015393	293.52.00	177.15.00	143.11.00	226.14.00	26.37.00	137.38.00	386.39.00	138.12.00	166.06.00	399.39.00	38.03.00	238.21.00
FBgn0015396	64.55.00	32.45.00	65.38.00	198.25.00	1502.04.00	124.06.00	78.01.00	114.25.00	123.02.00	98.22.00	880.21.00	180.31.00
FBgn0015399	23.26	392.53.00	17.57	34.05.00	96.14.00	137.54.00	143.32.00	563.02.00	153.02.00	110.57.00	434.28.00	23.39
FBgn0015400	4198.37.00	35.49.00	12449.32.00	356.56.00	132.01.00	1083.45.00	11968.34.00	1559.27.00	456.06.00	3091.04.00	294.28.00	678.56.00
FBgn0015402	258.48.00	128.45.00	1491.27.00	99.43.00	144.54.00	923.24.00	1045.23.00	1170.51.00	434.14.00	38.17.00	633.01.00	1490.47.00
FBgn0015477	19.13	268.31.00	102.02.00	51.42.00	156.15.00	167.51.00	151.33.00	732.24.00	169.35.00	70.28.00	1651.55.00	1165.53.00
FBgn0015509	140.03.00	139.02.00	149.57.00	164.55.00	182.52.00	100.31.00	190.41.00	56.07.00	93.41.00	131.46.00	115.51.00	95.21.00
FBgn0015513	310.23.00	1351.57.00	29.43.00	47.24.00	64.49.00	153.12.00	36.16.00	629.52.00	21.28	177.55.00	1190.36.00	1010.51.00
FBgn0015519	13616.45.00	4414.45.00	1848.07.00	3435.07.00	9529.37.00	2413.01.00	0	2592.46.00	1672.08.00	0	2272.55.00	2262.16.00
FBgn0015520	901.04.00	1447.19.00	127.31.00	127.55.00	116.37.00	131.48.00	128.19.00	6.15	234.06.00	52.13.00	125.36.00	127.04.00
FBgn0015521	8464.22.00	3282.19.00	5823.21.00	6876.33.00	2284.02.00	5771.22.00	5840.35.00	2837.27.00	6707.18.00	4254.38.00	2065.03.00	5589.28.00
FBgn0015522	1033.14.00	722.38.00	160.54.00	1064.23.00	310.38.00	1293.53.00	92.54.00	201.23.00	1368.46.00	150.12.00	475.57.00	138.11.00
FBgn0015524	6832.31.00	8125.57.00	0	3774.09.00	2937.14.00	0	3652.04.00	642.06.00	1985.53.00	0	4974.25.00	3190.12.00
FBgn0015527	99.52.00	1533.24.00	69.59.00	162.41.00	589.16.00	78.45.00	188.57.00	1487.37.00	109.14.00	240.43.00	703.03.00	74.26.00
FBgn0015541	410.09.00	22.18	175.16.00	152.49.00	525.31.00	52.13.00	115.21.00	341.44.00	33.52.00	176.57.00	985.14.00	131.44.00
FBgn0015544	135.13.00	1624.51.00	941.19.00	610.47.00	1037.52.00	347.34.00	153.28.00	1137.41.00	294.09.00	132.49.00	415.25.00	61.11.00
FBgn0015546	719.53.00	564.33.00	961.48.00	30.41.00	984.21.00	13.44	99.04.00	747.35.00	853.13.00	190.08.00	1545.05.00	14.34
FBgn0015550	780.36.00	3787.03.00	16533.38.00	1494.26.00	7248.28.00	16424.59.00	2076.48.00	0	8872.26.00	1310.07.00	918.17.00	2008.55.00
FBgn0015553	501.15.00	3533.41.00	1255.02.00	662.51.00	3426.12.00	1207.32.00	1480.13.00	5157.28.00	488.18.00	1478.07.00	2149.14.00	1317.44.00
FBgn0015558	165.04.00	304.58.00	444.31.00	1244.18.00	159.14.00	1086.17.00	1242.52.00	216.22.00	13183.29.00	13996.22.00	153.43.00	6047.03.00
FBgn0015561	15893.25.00	1189.51.00	3336.19.00	6891.21.00	0	10209.24.00	639.26.00	117.12.00	476.27.00	11147.39.00	1189.02.00	629.45.00
FBgn0015568	32.58.00	623.29.00	51.42.00	1446.25.00	630.53.00	327.28.00	11224.45.00	1236.45.00	15288.31.00	3413.58.00	1102.41.00	3243.37.00
FBgn0015569	90.15.00	35.39.00	21.57	635.17.00	131.32.00	146.11.00	1460.06.00	70.18.00	55.18.00	193.43.00	183.14.00	68.23.00
FBgn0015570	871.43.00	12626.12.00	668.29.00	20.22	6567.28.00	1579.25.00	1.36	805.11.00	10917.25.00	8604.05.00	8614.56.00	9898.48.00
FBgn0015571	1461.59.00	1193.25.00	1639.27.00	1074.47.00	46.32.00	11.16	1003.35.00	903.32.00	100.43.00	107.04.00	1236.52.00	1601.26.00
FBgn0015572	12969.05.00	10283.27.00	12505.17.00	164.37.00	6917.21.00	16220.18.00	9291.56.00	8972.28.00	6870.34.00	8575.34.00	9764.06.00	897.14.00
FBgn0015574	4799.37.00	11818.19.00	552.48.00	1496.23.00	6147.37.00	8379.15.00	1577.41.00	553.34.00	5320.24.00	5389.36.00	2166.09.00	9355.55.00
FBgn0015575	10500.34.00	23.57	356.15.00	10840.46.00	53.38.00	976.51.00	685.22.00	18.21	1583.43.00	2291.57.00	1058.23.00	11469.15.00
FBgn0015576	5877.57.00	171.53.00	3069.37.00	2792.44.00	488.03.00	5839.59.00	2777.42.00	864.26.00	9581.16.00	647.38.00	13.01	10645.38.00
FBgn0015577	70.26.00	398.49.00	5623.25.00	14995.49.00	138.15.00	12906.01.00	5171.29.00	948.47.00	6877.15.00	1761.14.00	77.48.00	10549.55.00
FBgn0015582	1103.38.00	896.08.00	26.33.00	24.14.00	840.22.00	14.44	73.19.00	1218.52.00	118.17.00	164.44.00	480.48.00	105.34.00
FBgn0015583	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0015584	0	0	16358.55.00	7109.21.00	2511.32.00	860.22.00	0	5940.59.00	0	0	13070.45.00	0
FBgn0015585	0	0	0	5104.45.00	1192.47.00	0	0	1230.15.00	0	0	0	1877.21.00
FBgn0015586	2973.02.00	0	4406.15.00	12346.18.00	5838.13.00	4247.42.00	2095.42.00	5970.24.00	981.15.00	8130.33.00	15918.32.00	1733.47.00
FBgn0015589	1589.47.00	740.07.00	12.04	171.49.00	29.32.00	15.01	1370.35.00	403.29.00	866.37.00	154.53.00	100.35.00	928.29.00
FBgn0015591	5376.49.00	5274.17.00	14261.33.00	10681.19.00	692.45.00	3089.49.00	9467.35.00	13246.03.00	6832.33.00	6429.18.00	1603.19.00	4039.13.00
FBgn0015600	24.23.00	114.06.00	49.53.00	76.16.00	177.53.00	42.24.00	169.52.00	32.38.00	116.06.00	24.43.00	204.52.00	166.02.00
FBgn0015602	85.31.00	173.32.00	176.47.00	93.21.00	147.38.00	147.44.00	130.43.00	92.18.00	93.47.00	129.28.00	106.12.00	239.07.00
FBgn0015609	1364.14.00	50.06.00	1220.36.00	113.19.00	184.43.00	50.49.00	975.55.00	1446.42.00	973.39.00	18.46	46.16.00	1043.16.00
FBgn0015614	185.05.00	135.32.00	213.07.00	87.49.00	130.35.00	155.39.00	74.41.00	171.06.00	234.46.00	70.59.00	117.03.00	77.22.00
FBgn0015615	22.09	111.56.00	151.26.00	78.04.00	1301.29.00	34.32.00	82.45.00	163.54.00	64.36.00	112.31.00	737.48.00	93.37.00
FBgn0015618	114.34.00	1163.41.00	116.08.00	150.04.00	992.01.00	85.51.00	125.34.00	1042.02.00	66.55.00	156.27.00	589.06.00	21.28
FBgn0015621	117.51.00	99.29.00	50.41.00	71.05.00	34.07.00	14.27	36.39.00	235.47.00	88.41.00	43.02.00	162.15.00	30.31.00
FBgn0015622	107.48.00	154.47.00	143.22.00	96.29.00	334.23.00	110.29.00	92.52.00	65.08.00	106.07.00	123.13.00	123.35.00	100.22.00
FBgn0015623	44.57.00	134.15.00	189.36.00	34.01.00	83.08.00	191.06.00	207.56.00	35.51.00	112.18.00	117.02.00	121.46.00	63.21.00
FBgn0015625	20.57	5291.26.00	68.26.00	136.49.00	3388.23.00	133.05.00	29.16.00	12365.59.00	87.48.00	139.51.00	1874.39.00	726.06.00
FBgn0015663	1016.49.00	206.34.00	1256.07.00	114.19.00	65.43.00	163.03.00	372.38.00	549.28.00	552.49.00	403.55.00	15946.39.00	597.39.00
FBgn0015664	87.42.00	145.34.00	158.58.00	186.13.00	17.22	67.18.00	108.58.00	631.24.00	198.27.00	96.36.00	21.04	127.56.00
FBgn0015714	75.13.00	149.09.00	138.04.00	39.53.00	965.54.00	50.41.00	179.11.00	130.38.00	120.46.00	359.56.00	52.57.00	60.11.00
FBgn0015721	12120.39.00	101.29.00	1217.36.00	1061.55.00	38.29.00	1174.34.00	5828.23.00	12361.04.00	13298.48.00	2039.32.00	7313.05.00	293.31.00
FBgn0015737	203.11.00	26.23.00	295.03.00	109.17.00	189.11.00	168.12.00	121.05.00	75.36.00	180.39.00	157.07.00	139.24.00	148.27.00
FBgn0015754	142.29.00	172.42.00	215.26.00	163.35.00	158.27.00	148.33.00	173.01.00	75.44.00	95.17.00	110.26.00	104.54.00	150.22.00
FBgn0015756	4500.52.00	1802.33.00	3538.05.00	3900.13.00	1593.24.00	3660.18.00	4996.22.00	2157.38.00	5263.38.00	4342.06.00	1282.26.00	4875.02.00
FBgn0015765	80.26.00	173.21.00	70.04.00	161.54.00	160.04.00	152.56.00	65.29.00	124.41.00	106.22.00	28.07.00	101.46.00	106.12.00
FBgn0015766	112.23.00	1022.34.00	207.04.00	133.07.00	401.22.00	260.52.00	146.04.00	523.11.00	136.51.00	377.15.00	2682.22.00	158.51.00
FBgn0015770	3319.22.00	903.09.00	300.05.00	4456.53.00	6670.56.00	1858.18.00	4719.42.00	2622.58.00	1705.03.00	0	1158.07.00	1645.31.00
FBgn0015772	166.13.00	163.22.00	165.49.00	15.08	149.42.00	26.07.00	30.56.00	166.49.00	24.28.00	111.43.00	61.39.00	1241.17.00
FBgn0015773	858.36.00	1639.43.00	1339.51.00	663.39.00	1543.09.00	257.55.00	53.45.00	7712.46.00	644.37.00	26.22.00	159.06.00	91.48.00
FBgn0015774	85.19.00	1549.14.00	149.37.00	627.26.00	19.21	55.57.00	1639.02.00	987.33.00	153.41.00	137.42.00	22.35	1644.29.00
FBgn0015776	220.43.00	138.12.00	130.27.00	107.08.00	72.21.00	136.26.00	106.35.00	126.09.00	194.03.00	156.04.00	189.49.00	214.27.00
FBgn0015777	126.22.00	335.23.00	150.37.00	202.42.00	232.21.00	214.23.00	172.15.00	147.21.00	117.06.00	172.23.00	183.52.00	145.02.00
FBgn0015778	110.51.00	36.29.00	243.23.00	156.47.00	72.12.00	175.29.00	197.59.00	163.43.00	151.46.00	294.06.00	47.32.00	149.52.00
