geneName	AL3.1,AL3.2	ALP.1,ALP.2	AWP.1,AWP.2	EL3.1,EL3.2	ELP.1,ELP.2	EWP.1,EWP.2	LL3.1,LL3.2	LLP.1,LLP.2	LWP.1,LWP.2	WL3.1,WL3.2	WLP.1,WLP.2	WWP.1,WWP.2
FBgn0000094	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000097	78.38.00	928.44.00	216.57.00	119.24.00	1251.27.00	150.55.00	44.25.00	515.13.00	58.59.00	65.31.00	146.35.00	45.28.00
FBgn0000100	2345.06.00	763.33.00	2509.12.00	2224.23.00	764.43.00	2151.32.00	3211.28.00	932.33.00	2482.14.00	3110.12.00	594.34.00	2960.14.00
FBgn0000108	1131.36.00	217.59.00	65.12.00	121.37.00	122.34.00	100.19.00	12951.51.00	1195.01.00	115.06.00	10481.59.00	148.52.00	9711.18.00
FBgn0000109	158.54.00	146.02.00	71.42.00	119.36.00	31.07.00	112.05.00	84.23.00	72.01.00	112.15.00	44.25.00	105.02.00	107.43.00
FBgn0000114	2580.58.00	657.54.00	14019.07.00	174.39.00	678.31.00	290.18.00	7280.44.00	286.09.00	7839.29.00	120.26.00	13055.02.00	14805.53.00
FBgn0000115	69.28.00	159.48.00	99.32.00	200.02.00	221.37.00	135.49.00	132.11.00	191.26.00	139.19.00	108.22.00	96.41.00	126.43.00
FBgn0000116	583.14.00	814.48.00	948.51.00	833.14.00	1137.52.00	876.46.00	667.16.00	2923.24.00	982.55.00	917.15.00	305.52.00	951.32.00
FBgn0000117	227.06.00	189.35.00	483.44.00	410.42.00	274.25.00	483.27.00	385.51.00	155.39.00	394.28.00	598.49.00	172.29.00	464.12.00
FBgn0000119	115.26.00	39.46.00	140.14.00	91.29.00	957.55.00	72.59.00	84.01.00	1249.47.00	51.52.00	107.01.00	1265.47.00	158.55.00
FBgn0000120	7362.58.00	222.28.00	1350.04.00	5360.45.00	184.14.00	12166.54.00	0	762.52.00	8664.36.00	0	14162.55.00	3225.31.00
FBgn0000121	5247.15.00	814.56.00	8738.31.00	3081.42.00	1151.4	3213.12.00	9596.43.00	5249.12.00	5029.05.00	838.16.00	2235.35.00	14318.01.00
FBgn0000137	1157.17.00	1093.21.00	1513.11.00	466.15.00	15695.52.00	589.23.00	1140.39.00	965.48.00	614.03.00	631.09.00	15897.35.00	15023.29.00
FBgn0000139	151.29.00	143.01.00	43.37.00	160.22.00	175.11.00	150.35.00	64.25.00	141.41.00	66.56.00	174.02.00	156.54.00	168.21.00
FBgn0000140	763.22.00	13046.08.00	850.36.00	22.12	3659.31.00	596.38.00	33.41.00	15377.18.00	94.58.00	178.19.00	13710.42.00	119.32.00
FBgn0000146	1017.54.00	11465.03.00	27.41.00	71.02.00	3790.07.00	748.21.00	1167.06.00	11697.35.00	762.51.00	10383.32.00	15924.48.00	186.43.00
FBgn0000147	26.22.00	38.33.00	1489.54.00	19.58	392.05.00	123.33.00	32.32.00	12862.07.00	1627.59.00	52.26.00	8939.13.00	30.16.00
FBgn0000150	3326.18.00	477.52.00	3138.4	2837.15.00	987.13.00	2400.24.00	4005.1	657.21.00	3612.34.00	3732.21.00	326.29.00	4559.04.00
